barangay_id,timestamp,rainfall,humidity,soil,flood,storm_surge,risk_label
1,2011-03-01 11:00:00,0.0,84.0,2.07,1.8,4.2,1
1,2011-02-26 16:00:00,0.0,84.0,2.07,1.8,4.2,1
1,2011-02-26 15:00:00,0.0,84.0,2.07,1.8,4.2,1
1,2011-02-26 14:00:00,0.0,83.0,2.07,1.8,4.2,1
1,2011-03-02 02:00:00,0.0,76.0,2.07,1.8,4.2,1
1,2011-03-02 01:00:00,0.0,81.0,2.07,1.8,4.2,1
1,2011-03-02 00:00:00,0.0,86.0,2.07,1.8,4.2,1
1,2011-03-01 23:00:00,0.0,90.0,2.07,1.8,4.2,1
1,2011-03-01 22:00:00,0.0,91.0,2.07,1.8,4.2,1
1,2011-03-01 21:00:00,0.0,94.0,2.07,1.8,4.2,1
1,2011-03-01 20:00:00,0.0,94.0,2.07,1.8,4.2,1
1,2011-03-01 18:00:00,0.0,95.0,2.07,1.8,4.2,1
1,2011-03-01 17:00:00,0.0,94.0,2.07,1.8,4.2,1
1,2011-03-01 16:00:00,0.0,92.0,2.07,1.8,4.2,1
1,2011-03-01 15:00:00,0.0,91.0,2.07,1.8,4.2,1
1,2011-02-25 18:00:00,0.0,81.0,2.07,1.8,4.2,1
2,2016-12-26 02:00:00,33.52,97.0,2.03,1.8,4.2,3
2,2019-12-03 05:00:00,32.76,94.0,2.03,1.8,4.2,3
2,2021-06-02 08:00:00,32.46,99.0,2.03,1.8,4.2,3
2,2014-09-19 07:00:00,32.11,95.0,2.03,1.8,4.2,3
2,2021-06-02 09:00:00,31.63,97.0,2.03,1.8,4.2,3
2,2021-06-02 07:00:00,31.4,99.0,2.03,1.8,4.2,3
2,2016-12-26 03:00:00,31.0,99.0,2.03,1.8,4.2,3
2,2019-12-03 04:00:00,29.34,93.0,2.03,1.8,4.2,3
2,2017-09-12 06:00:00,29.31,99.0,2.03,1.8,4.2,3
2,2021-06-02 10:00:00,27.7,100.0,2.03,1.8,4.2,3
2,2017-09-12 05:00:00,27.25,99.0,2.03,1.8,4.2,3
2,2016-12-26 01:00:00,27.13,97.0,2.03,1.8,4.2,3
2,2021-06-02 11:00:00,23.91,98.0,2.03,1.8,4.2,3
